,Follower ID,Tweet ID,Tweet text
0,1528977842209366016,1529479174137651200,wholesale production model https://t.co/323KC2Po65
1,1528977842209366016,1529475842220232709,2.4a 2USb https://t.co/NyLZceOQ5w
2,1528977842209366016,1529475456163975168,2.4a charger factory production https://t.co/2KZJ2tJFMK
3,1528977842209366016,1529474703835815938,"@kinexnews i come from China 
is charger production factory"
4,1528977842209366016,1529474369063297024,"@shopshop_shop_ i is production charger factory ，
com to China"
5,1528977842209366016,1529034787331006466,charger factory production https://t.co/MTwI9VcKQg
6,1528977842209366016,1528979915504115712,charger production factory https://t.co/xtYN0WWQQw
7,68808185,1509308870270799875,"RT @plantgarde: Climate change is one of the biggest common problems faced by mankind up to this point. As Plantgarde, we aim to develop ne…"
8,68808185,1500480382193614851,@iamhuek sen babanın oğlusun!
9,68808185,1495742351523950596,RT @poortedy: I can't get on a plane because I'm covit.But I am getting the information that I will not be able to use my ticket again!And…
10,68808185,1460276418710052871,"RT @ChapaDidgeridoo: 面白い人力テクノバンド見つけた。
風を送っている…
klangphonics
 https://t.co/xziFlmzyox"
11,68808185,1436203650003648513,@hrumanl sade yağ mı o? :))
12,68808185,1432062437193355275,RT @ForeverThad: Shiiiiiiiiid 😳😳 https://t.co/KX08YQCMx7
13,68808185,1422593200221528067,@mehmet_ERDEM16 @hilal_kaplan a. q salağı!!
14,68808185,1422591237102653444,"RT @aydinsule1: Manavgat Ulukapı köyündeyim.
Çaresizlik ve yalnızlıktan başka hiçbir şey kalmamış

Evi-köyü yanmış insanları borçlandırma d…"
15,68808185,1422557022646587394,"RT @dw_turkce: “Umudumuz, her şeyimiz bitti”

“Zeytinden başka güvencemiz hiç yoktu. Aylığımız yok, yıllığımız yok. Seni düşünen yok ki…”…"
16,68808185,1422553550580862979,RT @burusvilis: RTÜK’ün yayınlanmaması için medya kuruluşlarını tehdit ettiği görüntüler bunlar işte https://t.co/Isorcck20D
17,68808185,1422552528932282380,RT @hasansencan2: Bu iki fotoğrafı unutma Türkiye! https://t.co/Xx0nPmJZly
18,68808185,1422264391765008387,"RT @SkyNews: 'Firefighters are being completely outpaced by the flames and the fire.'

Our special correspondent @AlexCrawfordSky reports f…"
19,68808185,1420730667462168576,"RT @Medyanin50Tonu: CANIMIZ YANIYOR‼️
#Manavgat yanıyor
#Bodrum yanıyor
#Alanya yanıyor
#Kayseri yanıyor
#Izmir yanıyor
#Adana yanıyor
#Osm…"
20,68808185,1420719734618660864,RT @HakkindaAntalya: #manavgat https://t.co/DbjiTiwHMq
21,68808185,1357088568238342145,@fURKAN_DEMIR60 @dbdevletbahceli a. q çomarı! kapısından giremediğin okulun tuvaletinden sanane :)
22,68808185,1349264914620231680,"RT @birikimdergisi: Tanıl Bora, bugün Birikim Haftalık'ta yazdı: ""Hikâye""

""Değil mi ki hikâye, bir müşterek hayat bağı içinde, ortak deney…"
23,68808185,1265955038314323969,@hrumanl fes yakışmış :))
24,68808185,1263885556276252673,"RT @Biz10TV: Şanlıurfa'da sokakta karpuz satan adam, karpuzunun kaliteli olduğuna inandırmak için 'Beyaz çıkarsa burayı terk ederim' diyor.…"
25,68808185,1262921746715459587,@iamhuek @Banabi @zagortenay76 app hazır heralde ? kaç para kazanıcan lan! :))
26,68808185,1262113196942524419,@monarizar netfilix e ne zaman düşer?
27,1484163256218693639,1528446917654421504,"Contact Jerseys Gallery for all your quality sport wears.(Jerseys,Tracksuits,Sportsshorts,Footballs,football Boots etc. Reach us on: 0245001723/0504070205 https://t.co/WEY5uqttLV"
28,1484163256218693639,1528446330242314241,RT @shopshop_shop_: JBL TUNE T280 TWS Wireless Earphone T280TWS Sports Earbuds Deep Bass Waterproof Headset Bluetooth-compatible Headphones…
29,1484163256218693639,1526996721573801990,"Fire Island, Bros, Queer as Folk

Yay Gays!"
30,1484163256218693639,1526995927193604096,RT @CityRay__: @BUNK1NS I am very gay thats true
31,1484163256218693639,1525546740111355905,I could go for the beach rn
32,1484163256218693639,1525546156004151296,RT @Da_BeachStar: @Sary_q8 ✋🏽
33,1484163256218693639,1524096388627419137,all star weekend in utah is crazyy
34,1484163256218693639,1524096220226113538,RT @urquieta111192: @Marc0Pol0_ I didn't know u lived in Utah &amp; yeah ppl over here be doing shit like that 😅
35,1484163256218693639,1515048888591388679,"What do you get for the Coach who has it all??????

A HANDSOME, 15/10 PUPPY x"
